chinese	pinyin	definition
岁数		age (years)
思想倾向		ideological tendency
光度		brightness
火海		inferno
转轴		axle
部件		component
监视卫星		surveillance satellite
波段		frequency band
球体		spherical body
王国		kingdom
原地		on the spot
后半生		later life
光点		light spot
传统结构		traditional structure
生物		organism
圆环		ring
焰火		fireworks
精神需要		psychological need
体组织		body tissue
集成电路		integrated circuit
实时图像		real-time image
无知		ignorant
执政官		executive official
大移民		mass migration
解决方案		solution
肥皂船		soap boat
金属岩浆		metallic magma
次声波		infrasound
基本粒子		elementary particle
隆隆声		rumbling sound
功率		power (rate)
近处		nearby
自旋方向		spin direction
队列		queue
聚变燃料		fusion fuel
计时		timing
普通人		ordinary person
潮汐力		tidal force
半球		hemisphere
五光十色		multicolored
能级		energy level
光度		brightness
映像		image/reflection
催眠作用		hypnotic effect
天边		horizon
责任感		sense of responsibility
开关		switch
社会地位		social status
断面		cross-section
部署		deploy; deployment
大片		blockbuster
密封		to seal
枯树		withered tree
射线		ray; radiation
圆桌		round table
控制单元		control unit
流逝速度		rate of passage
大作		masterpiece
作用力		action force
人选		candidate
请示		request instructions
当量		equivalent
统帅		commander-in-chief
犯罪		crime
梦中情人		dream lover
星云		nebula
发射器		launcher
底片		film negative
面罩		face mask
范围内		within scope
防弹衣		bulletproof vest
人体		human body
雷达		radar
